Front	Back	Tags
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">结构化系统设计</span></div><h1>软件结构的典型形式</h1><div class=""q"">软件结构的典型形式有两种：<span class=""blank"">______</span>结构和<span class=""blank"">______</span>结构。软件<span class=""blank"">______</span>的主要目标之一就是使程序结构适应问题的结构。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">结构化系统设计</span></div><h1>软件结构的典型形式</h1><div class=""a"">软件结构的典型形式有两种：<span class=""hit"">变换型</span>结构和<span class=""hit"">事务型</span>结构。软件<span class=""hit"">设计</span>的主要目标之一就是使程序结构适应问题的结构。</div><div class=""ansbox"">挖空答案：<b>变换型；事务型；设计</b></div><div class=""pg"">教材页码：P58</div>"	结构化软件开发方法 识记 结构化系统设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">结构化系统设计</span></div><h1>变换型系统的组成</h1><div class=""q"">具有变换型<span class=""blank"">______</span>的系统由3部分组成：传入路径、变换中心、传出路径；流经这3部分的<span class=""blank"">______</span>分别为传入流、<span class=""blank"">______</span>和传出流。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">结构化系统设计</span></div><h1>变换型系统的组成</h1><div class=""a"">具有变换型<span class=""hit"">结构</span>的系统由3部分组成：传入路径、变换中心、传出路径；流经这3部分的<span class=""hit"">数据流</span>分别为传入流、<span class=""hit"">变换流</span>和传出流。</div><div class=""ansbox"">挖空答案：<b>结构；数据流；变换流</b></div><div class=""pg"">教材页码：P59</div>"	结构化软件开发方法 识记 结构化系统设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">结构化系统设计</span></div><h1>事务型系统的特征与组成</h1><div class=""q"">事务型<span class=""blank"">______</span>的特征是具有在多种事务中选择执行某类事务的能力。它由接收路径（至少一条）、一个事务中心和动作路径（若干条）组成：外部<span class=""blank"">______</span>沿接收路径进入<span class=""blank"">______</span>后，由事务中心计算出一个值，系统据此判断、选择某一条动作路径执行。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">结构化系统设计</span></div><h1>事务型系统的特征与组成</h1><div class=""a"">事务型<span class=""hit"">结构</span>的特征是具有在多种事务中选择执行某类事务的能力。它由接收路径（至少一条）、一个事务中心和动作路径（若干条）组成：外部<span class=""hit"">信息</span>沿接收路径进入<span class=""hit"">系统</span>后，由事务中心计算出一个值，<span class=""hit"">系统</span>据此判断、选择某一条动作路径执行。</div><div class=""ansbox"">挖空答案：<b>结构；信息；系统</b></div><div class=""pg"">教材页码：P59</div>"	结构化软件开发方法 识记 结构化系统设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">结构化系统设计</span></div><h1>SC图的表示符号</h1><div class=""q"">SC（<span class=""blank"">______</span>）中用矩形框表示模块，用带箭头的连线表示模块间的调用关系（箭头指向被调用模块），调用线两旁标出传入、传出的<span class=""blank"">______</span>；SC中的模块有传人、传出、变换、协调4种类型。表示符号包括：矩形框（模块）、箭头（简单调用）、菱形（选择调用）、叠加在调用线起始端的环形箭头（循环调用），以及传人、传出、变换、源、漏、<span class=""blank"">______</span>等数据流符号。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">结构化系统设计</span></div><h1>SC图的表示符号</h1><div class=""a"">SC（<span class=""hit"">结构图</span>）中用矩形框表示模块，用带箭头的连线表示模块间的调用关系（箭头指向被调用模块），调用线两旁标出传入、传出的<span class=""hit"">数据流</span>；SC中的模块有传人、传出、变换、协调4种类型。表示符号包括：矩形框（模块）、箭头（简单调用）、菱形（选择调用）、叠加在调用线起始端的环形箭头（循环调用），以及传人、传出、变换、源、漏、<span class=""hit"">控制</span>等<span class=""hit"">数据流</span>符号。</div><div class=""ansbox"">挖空答案：<b>结构图；数据流；控制</b></div><div class=""pg"">教材页码：P60</div>"	结构化软件开发方法 识记 结构化系统设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">结构化系统设计</span></div><h1>变换型结构的基本模型</h1><div class=""q"">变换型结构的基本模型：由传人路径、变换中心、传出路径三部分构成。<span class=""blank"">______</span>沿传人路径进入，经变换中心<span class=""blank"">______</span>变换后，再沿传出路径送出，即传人流→变换中心→传出流。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">结构化系统设计</span></div><h1>变换型结构的基本模型</h1><div class=""a"">变换型结构的基本模型：由传人路径、变换中心、传出路径三部分构成。<span class=""hit"">数据流</span>沿传人路径进入，经变换中心<span class=""hit"">加工</span>变换后，再沿传出路径送出，即传人流→变换中心→传出流。</div><div class=""ansbox"">挖空答案：<b>数据流；加工</b></div><div class=""pg"">教材页码：P59</div>"	结构化软件开发方法 领会 结构化系统设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">结构化系统设计</span></div><h1>事务型结构的基本模型</h1><div class=""q"">事务型结构的基本模型：由接收路径（至少一条）、事务中心和若干条动作路径组成。外部<span class=""blank"">______</span>沿接收路径进入，由事务中心根据其计算出的值判断、选择某一条动作路径执行。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">结构化系统设计</span></div><h1>事务型结构的基本模型</h1><div class=""a"">事务型结构的基本模型：由接收路径（至少一条）、事务中心和若干条动作路径组成。外部<span class=""hit"">信息</span>沿接收路径进入，由事务中心根据其计算出的值判断、选择某一条动作路径执行。</div><div class=""ansbox"">挖空答案：<b>信息</b></div><div class=""pg"">教材页码：P59</div>"	结构化软件开发方法 领会 结构化系统设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">结构化系统设计</span></div><h1>用变换分析法画SC图</h1><div class=""q"">用变换分析法画SC图（适用于变换型结构）分三步：1）区分传人、传出和变换中心——先确定中心加工（离中心最近、性质形式已发生重大变化的<span class=""blank"">______</span>为逻辑输人，离最终输出无本质差距的为逻辑输出）；2）完成第一级分解——画出顶层（只含一个控制主模块）和第一层（传人、传出、变换中心三个模块）；3）完成第二级分解——<span class=""blank"">______</span>用映射把<span class=""blank"">______</span>中的加工转化为SC中的模块（离中心加工越近的加工在SC中离主控模块越近），直至画出全部模块。其结果不唯一。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">结构化系统设计</span></div><h1>用变换分析法画SC图</h1><div class=""a"">用变换分析法画SC图（适用于变换型结构）分三步：1）区分传人、传出和变换中心——先确定中心加工（离中心最近、性质形式已发生重大变化的<span class=""hit"">数据流</span>为逻辑输人，离最终输出无本质差距的为逻辑输出）；2）完成第一级分解——画出顶层（只含一个控制主模块）和第一层（传人、传出、变换中心三个模块）；3）完成第二级分解——<span class=""hit"">自顶向下</span>用映射把<span class=""hit"">数据流图</span>中的加工转化为SC中的模块（离中心加工越近的加工在SC中离主控模块越近），直至画出全部模块。其结果不唯一。</div><div class=""ansbox"">挖空答案：<b>数据流；自顶向下；数据流图</b></div><div class=""pg"">教材页码：P60</div>"	结构化软件开发方法 综合应用 结构化系统设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">结构化系统设计</span></div><h1>用事务分析法画SC图</h1><div class=""q"">用事务分析法画SC图（适用于事务型结构）步骤：1）在<span class=""blank"">______</span>上确定事务中心、接收部分（含接收路径）和发送部分（含全部动作路径）；2）画出SC框架，把数据流图的三部分分别映射为事务<span class=""blank"">______</span>、接收模块和发送模块；3）分解和细化接收分支和发送分支，完成初始SC（接收分支一般具有变换特性，可按<span class=""blank"">______</span>对它进行分解）。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">结构化系统设计</span></div><h1>用事务分析法画SC图</h1><div class=""a"">用事务分析法画SC图（适用于事务型结构）步骤：1）在<span class=""hit"">数据流图</span>上确定事务中心、接收部分（含接收路径）和发送部分（含全部动作路径）；2）画出SC框架，把<span class=""hit"">数据流图</span>的三部分分别映射为事务<span class=""hit"">控制模块</span>、接收模块和发送模块；3）分解和细化接收分支和发送分支，完成初始SC（接收分支一般具有变换特性，可按<span class=""hit"">变换分析</span>对它进行分解）。</div><div class=""ansbox"">挖空答案：<b>数据流图；控制模块；变换分析</b></div><div class=""pg"">教材页码：P61</div>"	结构化软件开发方法 综合应用 结构化系统设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">结构化系统设计</span></div><h1>对软件模块结构的改进</h1><div class=""q"">对软件模块结构的改进（试探性规则）：1）模块<span class=""blank"">______</span>的完善化——完整模块包括执行规定功能的部分、出错处理的部分（回送出错标志）、返回模块执行是否正确结束的标志；2）消除重复功能——结构完全相似的模块可完全合并，局部相似的把相同部分独立出来作为下一级模块供两模块共享；3）<span class=""blank"">______</span>功能可预测的模块（黑箱），但要避免过分受限制的模块；4）模块的作用范围应在<span class=""blank"">______</span>范围之内；5）合理扇人扇出——尽量减少高扇出结构、随深度增大扇人；6）模块大小要适中。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">结构化系统设计</span></div><h1>对软件模块结构的改进</h1><div class=""a"">对软件模块结构的改进（试探性规则）：1）模块<span class=""hit"">功能</span>的完善化——完整模块包括执行规定<span class=""hit"">功能</span>的部分、出错处理的部分（回送出错标志）、返回模块执行是否正确结束的标志；2）消除重复<span class=""hit"">功能</span>——结构完全相似的模块可完全合并，局部相似的把相同部分独立出来作为下一级模块供两模块共享；3）<span class=""hit"">设计</span><span class=""hit"">功能</span>可预测的模块（黑箱），但要避免过分受限制的模块；4）模块的作用范围应在<span class=""hit"">控制</span>范围之内；5）合理扇人扇出——尽量减少高扇出结构、随深度增大扇人；6）模块大小要适中。</div><div class=""ansbox"">挖空答案：<b>功能；设计；控制</b></div><div class=""pg"">教材页码：P62</div>"	结构化软件开发方法 综合应用 结构化系统设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">详细设计</span></div><h1>详细设计的目的与任务</h1><div class=""q""><span class=""blank"">______</span>的目的：为软件结构图（SC或HC）中的每一个模块确定实现模块功能所采用的算法和块内数据结构，用某种选定的表达工具给出清晰的描述。任务：1）为每个模块确定采用的算法，选择适当工具表达算法过程、写出模块的详细过程性描述；2）确定每个模块使用的数据结构；3）确定模块接口的全部细节（对系统外部的接口和<span class=""blank"">______</span>、对内部其他模块的接口，以及输人、输出和局部数据）；4）为每个模块设计一组<span class=""blank"">______</span>。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">详细设计</span></div><h1>详细设计的目的与任务</h1><div class=""a""><span class=""hit"">详细设计</span>的目的：为软件结构图（SC或HC）中的每一个模块确定实现模块功能所采用的算法和块内数据结构，用某种选定的表达工具给出清晰的描述。任务：1）为每个模块确定采用的算法，选择适当工具表达算法过程、写出模块的详细过程性描述；2）确定每个模块使用的数据结构；3）确定模块接口的全部细节（对系统外部的接口和<span class=""hit"">用户界面</span>、对内部其他模块的接口，以及输人、输出和局部数据）；4）为每个模块设计一组<span class=""hit"">测试用例</span>。</div><div class=""ansbox"">挖空答案：<b>详细设计；用户界面；测试用例</b></div><div class=""pg"">教材页码：P63</div>"	结构化软件开发方法 识记 详细设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">详细设计</span></div><h1>程序流程图的常用标准符号</h1><div class=""q"">程序流程图的常用标准符号（ISO提出、国家技术监督局批准）：<span class=""blank"">______</span>输人/输出、处理、起止端点、预<span class=""blank"">______</span>处理（既定处理）、条件判断、准备或预处理、内接、外接、文件或文档、循环上界、循环下界、流线、虚线、并行<span class=""blank"">______</span>、省略线、注解或注释。虚线表示两个或多个符号间的选择关系，外接符及内接符表示流线在别处接续或转向外部、从外部转人。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">识记</span><span class=""chip c3"">详细设计</span></div><h1>程序流程图的常用标准符号</h1><div class=""a"">程序流程图的常用标准符号（ISO提出、国家技术监督局批准）：<span class=""hit"">数据</span>输人/输出、处理、起止端点、预<span class=""hit"">定义</span>处理（既定处理）、条件判断、准备或预处理、内接、外接、文件或文档、循环上界、循环下界、流线、虚线、并行<span class=""hit"">方式</span>、省略线、注解或注释。虚线表示两个或多个符号间的选择关系，外接符及内接符表示流线在别处接续或转向外部、从外部转人。</div><div class=""ansbox"">挖空答案：<b>数据；定义；方式</b></div><div class=""pg"">教材页码：P65</div>"	结构化软件开发方法 识记 详细设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">详细设计</span></div><h1>详细设计的原则</h1><div class=""q""><span class=""blank"">______</span>（模块逻辑设计）的原则：1）在程序的效率与清晰度之间仔细权衡，限制使用goto语句；2）采用结构化程序设计的思想，程序逻辑用顺序、选择和循环3种控制结构或它们的组合来实现，每个控制结构只有一个人口和一个出口；3）逐步细化——由粗到细对程序逐步细化，在细化程序的同时细化数据描述，每一步均使用相同的<span class=""blank"">______</span>、最后一步一般直接用<span class=""blank"">______</span>描述。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">详细设计</span></div><h1>详细设计的原则</h1><div class=""a""><span class=""hit"">详细设计</span>（模块逻辑设计）的原则：1）在程序的效率与清晰度之间仔细权衡，限制使用goto语句；2）采用结构化程序设计的思想，程序逻辑用顺序、选择和循环3种控制结构或它们的组合来实现，每个控制结构只有一个人口和一个出口；3）逐步细化——由粗到细对程序逐步细化，在细化程序的同时细化数据描述，每一步均使用相同的<span class=""hit"">结构化语言</span>、最后一步一般直接用<span class=""hit"">伪代码</span>描述。</div><div class=""ansbox"">挖空答案：<b>详细设计；结构化语言；伪代码</b></div><div class=""pg"">教材页码：P64</div>"	结构化软件开发方法 领会 详细设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">详细设计</span></div><h1>结构复杂性度量</h1><div class=""q"">结构复杂性的研究对象主要是程序的清晰度和非<span class=""blank"">______</span>程度，可以用程序图、<span class=""blank"">______</span>、<span class=""blank"">______</span>来度量程序结构的复杂性。其中程序图是简化了的流程图，把流程图中的框简化为圆圈。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">详细设计</span></div><h1>结构复杂性度量</h1><div class=""a"">结构复杂性的研究对象主要是程序的清晰度和非<span class=""hit"">结构化</span>程度，可以用程序图、<span class=""hit"">环域复杂度</span>、<span class=""hit"">交叉点复杂度</span>来度量程序结构的复杂性。其中程序图是简化了的流程图，把流程图中的框简化为圆圈。</div><div class=""ansbox"">挖空答案：<b>结构化；环域复杂度；交叉点复杂度</b></div><div class=""pg"">教材页码：P71</div>"	结构化软件开发方法 领会 详细设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">详细设计</span></div><h1>环域复杂度</h1><div class=""q"">环域复杂度：程序图可看作用G=(N,E)表示的有向图，V(G)=判定结点数+1=边数-结点数+2P。程序图包含的判定结点越多，程序复杂度和环域复杂度就越高。应用：①用来<span class=""blank"">______</span>程序的测试难度，环域数越大测试和<span class=""blank"">______</span>越难、越影响可靠性；②用来限制<span class=""blank"">______</span>的最大行数，McCabe发现V(G)≥10时充分测试非常困难，主张将10作为环域数上限来限制模块最大规模。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">详细设计</span></div><h1>环域复杂度</h1><div class=""a"">环域复杂度：程序图可看作用G=(N,E)表示的有向图，V(G)=判定结点数+1=边数-结点数+2P。程序图包含的判定结点越多，程序复杂度和环域复杂度就越高。应用：①用来<span class=""hit"">度量</span>程序的测试难度，环域数越大测试和<span class=""hit"">排错</span>越难、越影响可靠性；②用来限制<span class=""hit"">模块</span>的最大行数，McCabe发现V(G)≥10时充分测试非常困难，主张将10作为环域数上限来限制<span class=""hit"">模块</span>最大规模。</div><div class=""ansbox"">挖空答案：<b>度量；排错；模块</b></div><div class=""pg"">教材页码：P71</div>"	结构化软件开发方法 领会 详细设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">详细设计</span></div><h1>交叉点复杂度</h1><div class=""q"">交叉点复杂度：把程序图中交叉点的个数作为<span class=""blank"">______</span>程序<span class=""blank"">______</span>复杂性的依据。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">领会</span><span class=""chip c3"">详细设计</span></div><h1>交叉点复杂度</h1><div class=""a"">交叉点复杂度：把程序图中交叉点的个数作为<span class=""hit"">度量</span>程序<span class=""hit"">结构</span>复杂性的依据。</div><div class=""ansbox"">挖空答案：<b>度量；结构</b></div><div class=""pg"">教材页码：P71</div>"	结构化软件开发方法 领会 详细设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">详细设计</span></div><h1>程序流程图</h1><div class=""q"">程序流程图是软件开发者最熟悉的算法表达工具，独立于任何程序设计语言，优点是直观、清晰、易学易掌握；缺点是符号不够规范、使用灵活性大、可不受约束地随意转移控制。为描述结构化程序，只允许使用5种<span class=""blank"">______</span>：顺序型、选择型、先判定型循环、后判定型循环（<span class=""blank"">______</span>）、多情况（<span class=""blank"">______</span>）型选择，并且除规定符号外不允许出现其他符号。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">详细设计</span></div><h1>程序流程图</h1><div class=""a"">程序流程图是软件开发者最熟悉的算法表达工具，独立于任何程序设计语言，优点是直观、清晰、易学易掌握；缺点是符号不够规范、使用灵活性大、可不受约束地随意转移控制。为描述结构化程序，只允许使用5种<span class=""hit"">基本控制结构</span>：顺序型、选择型、先判定型循环、后判定型循环（<span class=""hit"">until</span>）、多情况（<span class=""hit"">case</span>）型选择，并且除规定符号外不允许出现其他符号。</div><div class=""ansbox"">挖空答案：<b>基本控制结构；until；case</b></div><div class=""pg"">教材页码：P64</div>"	结构化软件开发方法 综合应用 详细设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">详细设计</span></div><h1>N-S图</h1><div class=""q"">N-S图（盒图）规定用5种图形构件表示4种<span class=""blank"">______</span>：顺序（先执行A再执行B）、条件分支（条件P真执行A、假执行B）、循环（do-while先判定后执行、do-until先执行后判定）、多条件分支。其特点：1）图中每个矩形框都是明确定义了的功能域；2）控制转移不能任意规定，必须遵守<span class=""blank"">______</span>程序设计的要求；3）很容易确定局部数据和全局数据的<span class=""blank"">______</span>；4）很容易表现嵌套关系，也可以表示模块的层次结构。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">详细设计</span></div><h1>N-S图</h1><div class=""a"">N-S图（盒图）规定用5种图形构件表示4种<span class=""hit"">基本控制结构</span>：顺序（先执行A再执行B）、条件分支（条件P真执行A、假执行B）、循环（do-while先判定后执行、do-until先执行后判定）、多条件分支。其特点：1）图中每个矩形框都是明确定义了的功能域；2）控制转移不能任意规定，必须遵守<span class=""hit"">结构化</span>程序设计的要求；3）很容易确定局部数据和全局数据的<span class=""hit"">作用域</span>；4）很容易表现嵌套关系，也可以表示模块的层次结构。</div><div class=""ansbox"">挖空答案：<b>基本控制结构；结构化；作用域</b></div><div class=""pg"">教材页码：P66</div>"	结构化软件开发方法 综合应用 详细设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">详细设计</span></div><h1>伪代码</h1><div class=""q"">伪代码（以PDL为代表）是一种用于描述功能模块的算法设计和加工细节的语言。其语法分为内语法和外语法：内语法描述实际操作和条件，外语法描述控制结构和数据结构。它包括数据说明、程序块、子程序结构，以及顺序、选择（<span class=""blank"">______</span>）、重复（REPEAT UNTIL/DO LOOP）、多路选择（<span class=""blank"">______</span>）等<span class=""blank"">______</span>和输人输出结构。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">综合应用</span><span class=""chip c3"">详细设计</span></div><h1>伪代码</h1><div class=""a"">伪代码（以PDL为代表）是一种用于描述功能模块的算法设计和加工细节的语言。其语法分为内语法和外语法：内语法描述实际操作和条件，外语法描述控制结构和数据结构。它包括数据说明、程序块、子程序结构，以及顺序、选择（<span class=""hit"">IF-THEN-ELSE</span>）、重复（REPEAT UNTIL/DO LOOP）、多路选择（<span class=""hit"">CASE</span>）等<span class=""hit"">基本控制结构</span>和输人输出结构。</div><div class=""ansbox"">挖空答案：<b>IF-THEN-ELSE；CASE；基本控制结构</b></div><div class=""pg"">教材页码：P69</div>"	结构化软件开发方法 综合应用 详细设计 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">本章重点</span></div><h1>需求分析的任务</h1><div class=""q"">本章重点——需求分析的任务：弄清<span class=""blank"">______</span>对软件系统的确切要求，并以<span class=""blank"">______</span>的形式表达出来，建立目标系统的正确逻辑<span class=""blank"">______</span>。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">本章重点</span></div><h1>需求分析的任务</h1><div class=""a"">本章重点——需求分析的任务：弄清<span class=""hit"">用户</span>对软件系统的确切要求，并以<span class=""hit"">需求规格说明书</span>的形式表达出来，建立目标系统的正确逻辑<span class=""hit"">模型</span>。</div><div class=""ansbox"">挖空答案：<b>用户；需求规格说明书；模型</b></div><div class=""pg"">教材页码：P35</div>"	结构化软件开发方法 本章重点 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">本章重点</span></div><h1>工作步骤</h1><div class=""q"">本章重点——<span class=""blank"">______</span>的工作步骤：获得当前系统的具体<span class=""blank"">______</span>→抽象出当前系统的逻辑模型→建立目标系统的逻辑模型→对目标系统完善补充并写出完整的需求说明→对需求说明进行复审，直到文档齐全、符合<span class=""blank"">______</span>全部需求。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">本章重点</span></div><h1>工作步骤</h1><div class=""a"">本章重点——<span class=""hit"">需求分析</span>的工作步骤：获得当前系统的具体<span class=""hit"">模型</span>→抽象出当前系统的逻辑<span class=""hit"">模型</span>→建立目标系统的逻辑<span class=""hit"">模型</span>→对目标系统完善补充并写出完整的需求说明→对需求说明进行复审，直到文档齐全、符合<span class=""hit"">用户</span>全部需求。</div><div class=""ansbox"">挖空答案：<b>需求分析；模型；用户</b></div><div class=""pg"">教材页码：P36</div>"	结构化软件开发方法 本章重点 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">本章重点</span></div><h1>表达需求的工具</h1><div class=""q"">本章重点——表达需求的工具：<span class=""blank"">______</span>（DFD）、数据字典（DD）、<span class=""blank"">______</span>，以及描述加工的<span class=""blank"">______</span>、判定表、判定树和加工说明卡片等。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">本章重点</span></div><h1>表达需求的工具</h1><div class=""a"">本章重点——表达需求的工具：<span class=""hit"">数据流图</span>（DFD）、数据字典（DD）、<span class=""hit"">数据结构图</span>，以及描述加工的<span class=""hit"">结构化语言</span>、判定表、判定树和加工说明卡片等。</div><div class=""ansbox"">挖空答案：<b>数据流图；数据结构图；结构化语言</b></div><div class=""pg"">教材页码：P37</div>"	结构化软件开发方法 本章重点 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">本章重点</span></div><h1>需求分析文档的内容结</h1><div class=""q"">本章重点——需求分析文档（<span class=""blank"">______</span>SRS）的内容结构：引言、数据描述（<span class=""blank"">______</span>、数据字典）、功能描述、性能描述、<span class=""blank"">______</span>五部分。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">本章重点</span></div><h1>需求分析文档的内容结</h1><div class=""a"">本章重点——需求分析文档（<span class=""hit"">需求规格说明书</span>SRS）的内容结构：引言、数据描述（<span class=""hit"">数据流图</span>、数据字典）、功能描述、性能描述、<span class=""hit"">质量保证</span>五部分。</div><div class=""ansbox"">挖空答案：<b>需求规格说明书；数据流图；质量保证</b></div><div class=""pg"">教材页码：P37</div>"	结构化软件开发方法 本章重点 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">本章重点</span></div><h1>结构化设计的步骤、任务、原则和设计文档的内容</h1><div class=""q"">本章重点——<span class=""blank"">______</span>的步骤、任务、原则和设计文档内容：设计分概要设计与详细设计两步，任务包括数据设计、<span class=""blank"">______</span>、过程设计；概要设计完成制定规范、体系结构总体设计、处理方式设计、数据结构设计、可靠性设计、编写文档与评审；遵循模块化、<span class=""blank"">______</span>等原则；设计文档由概要设计说明书和详细设计说明书构成。</div>"	"<div class=""top""><span class=""chip c1"">章节：结构化软件开发方法</span><span class=""chip c2"">本章重点</span></div><h1>结构化设计的步骤、任务、原则和设计文档的内容</h1><div class=""a"">本章重点——<span class=""hit"">结构化设计</span>的步骤、任务、原则和设计文档内容：设计分概要设计与详细设计两步，任务包括数据设计、<span class=""hit"">体系结构设计</span>、过程设计；概要设计完成制定规范、体系结构总体设计、处理方式设计、数据结构设计、可靠性设计、编写文档与评审；遵循模块化、<span class=""hit"">高内聚低耦合</span>等原则；设计文档由概要设计说明书和详细设计说明书构成。</div><div class=""ansbox"">挖空答案：<b>结构化设计；体系结构设计；高内聚低耦合</b></div><div class=""pg"">教材页码：P46</div>"	结构化软件开发方法 本章重点 13005软件工程
